publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
"pre-release assessment of gadirtha inexacta, a proposed biological control agent of chinese tallow (triadica sebifera) in the united states",euphorbiaceae,triadica,sebifera,tree,perennial,"eastern china, taiwan, and japan",lepidoptera,nolidae,gadirtha,inexacta,unclear,monophagous,"northern india and burma, china, as well as on borneo",larval,cage,figure 1,native,native,no,a,6 larvae,triadica_sebifera,gadirtha_inexacta,diameter,stem,diameter,m,x,sd,0.006666,0.00092971,10,0.005146,0.000676727,10,-1.790362062,0.280134908
"pre-release assessment of gadirtha inexacta, a proposed biological control agent of chinese tallow (triadica sebifera) in the united states",euphorbiaceae,triadica,sebifera,tree,perennial,"eastern china, taiwan, and japan",lepidoptera,nolidae,gadirtha,inexacta,unclear,monophagous,"northern india and burma, china, as well as on borneo",larval,cage,figure 1,native,native,no,a,1 larvae,triadica_sebifera,gadirtha_inexacta,diameter,stem,diameter,m,x,sd,0.006666,0.00092971,10,0.005093,0.000758947,10,-1.775246881,0.278787537
"pre-release assessment of gadirtha inexacta, a proposed biological control agent of chinese tallow (triadica sebifera) in the united states",euphorbiaceae,triadica,sebifera,tree,perennial,"eastern china, taiwan, and japan",lepidoptera,nolidae,gadirtha,inexacta,unclear,monophagous,"northern india and burma, china, as well as on borneo",larval,cage,figure 1,native,native,no,a,6 larvae,triadica_sebifera,gadirtha_inexacta,length,stem,length,m,x,sd,0.63522,0.092433376,10,0.46778,0.092433376,10,-1.734926034,0.275249209
"pre-release assessment of gadirtha inexacta, a proposed biological control agent of chinese tallow (triadica sebifera) in the united states",euphorbiaceae,triadica,sebifera,tree,perennial,"eastern china, taiwan, and japan",lepidoptera,nolidae,gadirtha,inexacta,unclear,monophagous,"northern india and burma, china, as well as on borneo",larval,cage,figure 1,native,native,no,a,3 larvae,triadica_sebifera,gadirtha_inexacta,diameter,stem,diameter,m,x,sd,0.006666,0.00092971,10,0.005306,0.000844328,10,-1.466743601,0.25378342
"pre-release assessment of gadirtha inexacta, a proposed biological control agent of chinese tallow (triadica sebifera) in the united states",euphorbiaceae,triadica,sebifera,tree,perennial,"eastern china, taiwan, and japan",lepidoptera,nolidae,gadirtha,inexacta,unclear,monophagous,"northern india and burma, china, as well as on borneo",larval,cage,figure 1,native,native,no,a,3 larvae,triadica_sebifera,gadirtha_inexacta,length,stem,length,m,x,sd,0.63522,0.092433376,10,0.56346,0.058818364,10,-0.887142773,0.219675557
"pre-release assessment of gadirtha inexacta, a proposed biological control agent of chinese tallow (triadica sebifera) in the united states",euphorbiaceae,triadica,sebifera,tree,perennial,"eastern china, taiwan, and japan",lepidoptera,nolidae,gadirtha,inexacta,unclear,monophagous,"northern india and burma, china, as well as on borneo",larval,cage,figure 1,native,native,no,a,1 larvae,triadica_sebifera,gadirtha_inexacta,length,stem,length,m,x,sd,0.63522,0.092433376,10,0.5794,0.092464999,10,-0.578278827,0.20836016
noncorrelated evolution between herbivore- and pollinator-linked features in aristolochia chilensis (aristolochiaceae),aristolochiaceae,aristolochia,chilensis,forb,perennial,chile,lepidoptera,papilionidae,battus,polydamas archidamas,unclear,monophagous,americas,unclear,cage,figure 1,native,native,no,a,,aristolochia_chilensis,battus_polydamas archidamas,number of,fruit,count,count,x,sd,29.126,48.16829388,15,13.125,35.82896894,15,-0.366755437,0.135575159
noncorrelated evolution between herbivore- and pollinator-linked features in aristolochia chilensis (aristolochiaceae),aristolochiaceae,aristolochia,chilensis,forb,perennial,chile,lepidoptera,papilionidae,battus,polydamas archidamas,unclear,monophagous,americas,unclear,cage,figure 1,native,native,no,a,,aristolochia_chilensis,battus_polydamas archidamas,number of,fruit,count,count,x,sd,0.344,0.530598718,15,0.163,0.464758002,15,-0.353087653,0.135411182
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"5 larva, 1 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,0.22,0.102815369,11,-4.842363322,0.749206294
"effects of below- and above-ground herbivores on plant growth, flower visitation and seed set",brassicaceae,sinapis,arvensis,forb,annual,mediterranean basin,lepidoptera,pieridae,pieris,rapae,unclear,monophagous,europe,larval,cage,figure 1,native,native,no,a,,sinapis_arvensis,pieris_rapae,number of,fruit,count,count,x,sd,31.991,2.09431373,6,177.102,86.98872924,6,2.177029978,0.530810814
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"5 larva, 2 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,0.812,0.291,9,-2.677536958,0.399774379
"effects of below- and above-ground herbivores on plant growth, flower visitation and seed set",brassicaceae,sinapis,arvensis,forb,annual,mediterranean basin,lepidoptera,pieridae,pieris,rapae,unclear,monophagous,europe,larval,cage,figure 1,native,native,no,a,,sinapis_arvensis,pieris_rapae,length,whole organism,length,m,x,sd,0.507,0.062584463,6,0.42852,0.069296065,6,-1.097196805,0.383493368
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"2 larva, 1 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,0.932,0.378095226,11,-2.260889608,0.312614372
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"1 larva, 1 plant",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,1.159,0.228847111,11,-2.035314275,0.289540143
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"5 larva, 4 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,1.294,0.39,9,-1.415639787,0.263848901
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"2 larva, 2 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,1.331,0.414258373,10,-1.315581187,0.243268847
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"2 larva, 4 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,1.777,0.257386868,8,-0.413594217,0.229751672
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,brassica,oleracea,forb,bi-annual,coastal southern and western europe,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,5 larvae 1 plant,brassica_oleracea,pieris_rapae,biomass,whole organism,mass,g,x,sd,15.774,4.307022173,10,12.394,3.24,9,-0.840361059,0.229695498
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"1 larva, 4 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,2.168,0.439556595,10,0.445962476,0.204972063
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,brassica,oleracea,forb,bi-annual,coastal southern and western europe,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,1 larvae 1 plant,brassica_oleracea,pieris_rapae,biomass,whole organism,mass,g,x,sd,15.774,4.307022173,10,14.742,2.523497573,10,-0.280017056,0.201960239
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,arabidopsis,thaliana,forb,annual,eurasia,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,"1 larva, 2 plants",arabidopsis_thaliana,pieris_rapae,biomass,whole organism,mass,g,x,sd,1.952,0.48699076,10,1.645,0.424527973,11,-0.647472537,0.200890536
"nutritional suitability and ecological relevance of arabidopsis thaliana and brassica oleracea as foodplants for the cabbage butterfly, pieris rapae",brassicaceae,brassica,oleracea,forb,bi-annual,coastal southern and western europe,lepidoptera,pieridae,pieris,rapae,unclear,,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,2 larvae 1 plant,brassica_oleracea,pieris_rapae,biomass,whole organism,mass,g,x,sd,15.774,4.307022173,10,15.352,4.749741046,10,-0.089145975,0.200198675
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,figure 3,native,native,no,a,"early herbivory, 6 bugs",brassica_nigra,pieris_brassicae,length,stem,length,m,x,sd,2.71511,0.338004035,20,2.09883,0.364031867,20,-1.719630909,0.136964131
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,figure 2,native,native,no,a,"early herbivory, 6 bugs",brassica_nigra,pieris_brassicae,number of,flower,count,count,x,sd,18.497,4.033866631,20,12.782,2.356815648,20,-1.695595905,0.135938068
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,figure 3,native,native,no,a,"early herbivory, 3 bugs",brassica_nigra,pieris_brassicae,length,stem,length,m,x,sd,2.71511,0.338004035,20,2.49418,0.312020926,20,-0.665721743,0.105539818
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,figure 2,native,native,no,a,"early herbivory, 3 bugs",brassica_nigra,pieris_brassicae,number of,flower,count,count,x,sd,18.497,4.033866631,20,15.865,4.033866631,20,-0.639512618,0.105112205
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,table 2,native,native,no,a,"early herbivory, 3 bugs",brassica_nigra,pieris_brassicae,number of,seed,count,count,x,sd,1041,1019.646998,20,1340,1287.975155,20,0.252292834,0.100795646
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,table 2,native,native,no,a,"early herbivory, 3 bugs",brassica_nigra,pieris_brassicae,biomass,seed,mass,g,x,sd,1.59,1.431083506,20,1.95,1.833575742,20,0.214537707,0.10057533
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,table 2,native,native,no,a,"early herbivory, 6 bugs",brassica_nigra,pieris_brassicae,number of,seed,count,count,x,sd,1041,1019.646998,20,1189,804.9844719,20,0.157912471,0.100311704
tolerance of brassica nigra to pieris brassicae herbivory,brassicaceae,brassica,nigra,forb,annual,southern region of europe and possibly south asia,lepidoptera,pieridae,pieris,brassicae,unclear,polyphagous,"europe, north africa, asia even through the himalayas",larval,cage,table 2,native,native,no,a,"early herbivory, 6 bugs",brassica_nigra,pieris_brassicae,biomass,seed,mass,g,x,sd,1.59,1.431083506,20,1.57,0.98386991,20,-0.015962985,0.100003185
impact of foliar herbivory on the development of a root-feeding insect and its parasitoid????,brassicaceae,brassica,nigra,forb,perennial,possibly mediterranean,lepidoptera,pieridae,pieris,brassicae,unclear,monophagous,"europe, north africa, asia",larval,cage,figure 3,native,native,no,a,,brassica_nigra,pieris_brassicae,biomass,roots,mass,g,x,sd,0.788,0.288,36,0.782,0.288,36,-0.020609319,0.055558505
resistance of some cultivated brassicaceae to infestations by plutella xylostella (lepidoptera: plutellidae),brassicaceae,sinapis,alba,forb,annual,mediterranean region,lepidoptera,plutellidae,plutella,xylostella,both,monophagous,europe,adult,cage,figure 3,native,native,no,a,,sinapis_alba,plutella_xylostella,biomass,roots,mass,g,x,sd,0.053,0.147580487,5,0.296,0.682000733,5,0.444831457,0.409893751
resistance of some cultivated brassicaceae to infestations by plutella xylostella (lepidoptera: plutellidae),brassicaceae,brassica,rapa,forb,annual,"europe, russia, central asia and the near east ",lepidoptera,plutellidae,plutella,xylostella,both,monophagous,europe,adult,cage,figure 3,native,native,no,a,,brassica_rapa,plutella_xylostella,biomass,roots,mass,g,x,sd,0.066,0.16546903,5,0.26,0.60821049,5,0.393145929,0.407728186
resistance of some cultivated brassicaceae to infestations by plutella xylostella (lepidoptera: plutellidae),brassicaceae,brassica,oleracea,forb,annual,coastal southern and western europe,lepidoptera,plutellidae,plutella,xylostella,both,monophagous,europe,adult,cage,figure 3,native,native,no,a,,brassica_oleracea,plutella_xylostella,biomass,roots,mass,g,x,sd,0.335,0.834053356,5,0.214,0.570197334,5,-0.152979331,0.401170134
resistance of some cultivated brassicaceae to infestations by plutella xylostella (lepidoptera: plutellidae),brassicaceae,brassica,juncea,forb,annual,central asia,lepidoptera,plutellidae,plutella,xylostella,both,monophagous,europe,adult,cage,figure 3,introduced,invasive,no,d,,brassica_juncea,plutella_xylostella,biomass,roots,mass,g,x,sd,0.18,0.447213595,5,0.191,0.474046411,5,0.021560194,0.400023242
natural enemy density and soil type influence growth and survival of melaleuca quinquenervia seedlings,myrtaceae ,melaleuca,quinquenervia,tree,perennial," the plant is native to new caledonia, papua new guinea and coastal eastern australia, from botany bay in new south wales northwards, into queensland and the northern territory.",hemiptera,psyllidae,boreioglycaspis,melaleucae,unclear,monophagous,australia,larval,cage,figure 4,introduced,introduced,yes,d,15-25 nymph,melaleuca_quinquenervia,boreioglycaspis_melaleucae,number of,leaves,count,count,x,sd,35.729,2.842042399,5,15.028,3.664915415,5,-5.701570111,2.025395086
natural enemy density and soil type influence growth and survival of melaleuca quinquenervia seedlings,myrtaceae ,melaleuca,quinquenervia,tree,perennial," the plant is native to new caledonia, papua new guinea and coastal eastern australia, from botany bay in new south wales northwards, into queensland and the northern territory.",hemiptera,psyllidae,boreioglycaspis,melaleucae,unclear,monophagous,australia,larval,cage,figure 4,introduced,introduced,yes,d,1-5 nymph,melaleuca_quinquenervia,boreioglycaspis_melaleucae,number of,leaves,count,count,x,sd,35.729,2.842042399,5,25.667,3.787899154,5,-2.714099059,0.768316685
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,sessilis,forb,perennial,tropical and subtropical regions of the old world,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,native,native,no,a,high herbivory level,alternanthera_sessilis,atractomorpha_sinensis,biomass,leaves,mass,g,x,sd,7.051,1.295,6,3.597,1.763,6,-2.061225232,0.510360394
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,sessilis,forb,perennial,tropical and subtropical regions of the old world,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,native,native,no,a,high herbivory level,alternanthera_sessilis,atractomorpha_sinensis,biomass,whole organism,mass,g,x,sd,33.669,7.194,6,19.712,7.482,6,-1.755369945,0.461721819
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,sessilis,forb,perennial,tropical and subtropical regions of the old world,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,native,native,no,a,mid herbivory level,alternanthera_sessilis,atractomorpha_sinensis,biomass,whole organism,mass,g,x,sd,33.669,7.194,6,25.755,7.482,6,-0.995342677,0.374612794
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,sessilis,forb,perennial,tropical and subtropical regions of the old world,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,native,native,no,a,mid herbivory level,alternanthera_sessilis,atractomorpha_sinensis,biomass,leaves,mass,g,x,sd,7.051,1.295,6,5.648,1.618,6,-0.883754335,0.365875905
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,philoxeroides,forb,perennial,argentina,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,invasive,native,no,c,high herbivore level,alternanthera_philoxeroides,atractomorpha_sinensis,biomass,leaves,mass,g,x,sd,11.475,3.669,6,3.525,2.77,6,-2.257482706,0.545676174
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,philoxeroides,forb,perennial,argentina,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,invasive,native,no,c,mid herbivore level,alternanthera_philoxeroides,atractomorpha_sinensis,biomass,leaves,mass,g,x,sd,11.475,3.669,6,6.151,1.763,6,-1.707391923,0.454799466
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,philoxeroides,forb,perennial,argentina,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,invasive,native,no,c,high herbivore level,alternanthera_philoxeroides,atractomorpha_sinensis,biomass,whole organism,mass,g,x,sd,49.352,16.547,6,29.208,6.907,6,-1.466565477,0.422950596
the invasive plant alternanthera philoxeroides was suppressed more intensively than its native congener by a native generalist: implications for the biotic resistance hypothesis,amaranthaceae,alternanthera,philoxeroides,forb,perennial,argentina,orthoptera,pyrgomorphidae,atractomorpha,sinensis,unclear,polyphagous,middle east to asia,larval,cage,,invasive,native,no,c,mid herbivore level,alternanthera_philoxeroides,atractomorpha_sinensis,biomass,whole organism,mass,g,x,sd,49.352,16.547,6,33.237,8.489,6,-1.131173074,0.386648022
"interactions between a native silkmoth hemileuca sp. and an invasive wetland plant, lythrum salicaria?",lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",lepidoptera,saturniidae,hemileucae,,unclear,polyphagous,eastern us,larval,cage,figure 2,invasive,native,no,c,,lythrum_salicaria,hemileucae_,biomass,leaves,mass,g,x,sd,8.484,2.719558788,10,6.885,3.630294754,10,-0.477467353,0.205699377
"defoliation and below-ground herbivory in the grass muhlenbergia quadridentata : effects on plant performance and on the root-feeder phyllophaga sp. (coleoptera, melolonthidae)",poaceae,muhlenbergia,quadridentata,grass,perennial,southwest us and mexico,coleoptera,scarabaeidae,phyllophaga,,unclear,polyphagous,with plant,larval,cage,fig 1,native,native,no,a,,muhlenbergia_quadridentata,phyllophaga_,biomass,roots,mass,g,x,sd,13.737,1.231,6,11.842,1.989,8,-1.034794397,0.329909504
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,large daily waterings,plantago_lanceolata,anomala_cuprea,biomass,roots,mass,g,x,sd,2.998,0.987,9,1.097,1.098,9,-1.734211977,0.305763644
"defoliation and below-ground herbivory in the grass muhlenbergia quadridentata : effects on plant performance and on the root-feeder phyllophaga sp. (coleoptera, melolonthidae)",poaceae,muhlenbergia,quadridentata,grass,perennial,southwest us and mexico,coleoptera,scarabaeidae,phyllophaga,,unclear,polyphagous,with plant,larval,cage,fig 1,native,native,no,a,,muhlenbergia_quadridentata,phyllophaga_,biomass,roots,mass,g,x,sd,3.522,0.457,6,3.522,0.457,8,0,0.291666667
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,small daily waterings,plantago_lanceolata,anomala_cuprea,biomass,stem,mass,g,x,sd,3.144,0.66,9,1.682,1.095,9,-1.540153485,0.288113132
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,large daily waterings,plantago_lanceolata,anomala_cuprea,biomass,stem,mass,g,x,sd,10.311,4.824,9,4.753,4.17,9,-1.1739814,0.260506454
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,large every 4 day waterings,plantago_lanceolata,anomala_cuprea,biomass,stem,mass,g,x,sd,12.431,3.075,9,8.556,4.059,9,-1.024912725,0.25140128
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,small daily waterings,plantago_lanceolata,anomala_cuprea,biomass,roots,mass,g,x,sd,1.682,0.768,9,0.951,0.657,9,-0.974158513,0.248582911
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,small every 4 day waterings,plantago_lanceolata,anomala_cuprea,biomass,stem,mass,g,x,sd,2.413,1.425,9,3.802,2.415,9,0.667172212,0.234586632
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,large every 4 day waterings,plantago_lanceolata,anomala_cuprea,biomass,roots,mass,g,x,sd,2.779,0.987,9,2.048,1.533,9,-0.54000243,0.230322295
availability and temporal heterogeneity of water supply affect the vertical distribution and mortality of a belowground herbivore and consequently plant growth,plantaginaceae,plantago,lanceolata,forb,perennial,eurasia,coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,small every 4 day waterings,plantago_lanceolata,anomala_cuprea,biomass,roots,mass,g,x,sd,1.463,0.657,9,1.426,0.768,9,-0.049307613,0.222289757
effects of belowground herbivory on the survival and biomass of lolium perenne and plantago lanceolata plants at various growth stages,poaceae,lolium,perenne,grass,perennial,"europe, asia, northern africa",coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,,lolium_perenne,anomala_cuprea,biomass,roots,mass,g,x,sd,2.631,1.01859462,15,2.834,0.627423302,15,0.23348684,0.134241935
effects of belowground herbivory on the survival and biomass of lolium perenne and plantago lanceolata plants at various growth stages,poaceae,lolium,perenne,grass,perennial,"europe, asia, northern africa",coleoptera,scarabaeidae,anomala,cuprea,unclear,polyphagous,japan,larval,cage,figure 2,native,native,no,a,,lolium_perenne,anomala_cuprea,biomass,stem,mass,g,x,sd,4.575,1.177386937,15,4.454,0.627423302,15,-0.12479677,0.133592904
root damage by insects reverses the effects of elevated atmospheric co2 on eucalypt seedlings,myrtaceae,eucalyptus,globulus,tree,,tasmania and southern victoria,coleoptera,scarabaeidae,xylotrupes,gideon,unclear,polyphagous,"southeast asia, south to australia and east to the solomon islands",larval,cage,fig 2,native,native,no,a,400 u mol / mol,eucalyptus_globulus,xylotrupes_gideon,biomass,stem,mass,g,x,sd,1.849,0.489897949,24,1.568,0.587877538,24,-0.51078978,0.086051106
root damage by insects reverses the effects of elevated atmospheric co2 on eucalypt seedlings,myrtaceae,eucalyptus,globulus,tree,,tasmania and southern victoria,coleoptera,scarabaeidae,xylotrupes,gideon,unclear,polyphagous,"southeast asia, south to australia and east to the solomon islands",larval,cage,fig 2,native,native,no,a,400 u mol / mol co2,eucalyptus_globulus,xylotrupes_gideon,biomass,roots,mass,g,x,sd,0.503,0.195959179,24,0.422,0.102878569,24,-0.509089698,0.086033045
Effects of belowground vertical distribution of a herbivore on plant biomass and survival in Lolium perenne,poaceae,lolium,perenne,grass,perennial,"europe, asia, and north africa",coleoptera,scarabaeidae,anomala ,cuprea,unclear,polyphagous,japan,larval,cage,figure 1,introduced,native,no,c,,lolium_perenne,anomala _cuprea,biomass,stem,mass,g,x,sd,1.74,0.471810343,5,0.316,0.633,9,-2.281807808,0.497062785
Effects of belowground vertical distribution of a herbivore on plant biomass and survival in Lolium perenne,poaceae,lolium,perenne,grass,perennial,"europe, asia, and north africa",coleoptera,scarabaeidae,anomala ,cuprea,unclear,polyphagous,japan,larval,cage,figure 1,introduced,native,no,c,,lolium_perenne,anomala _cuprea,biomass,stem,mass,g,x,sd,1.74,0.471810343,5,1.182,0.726,9,-0.80074737,0.334010981
